hotel_id,hotel_name,,,,,,,,,,,,,,,,,,,,,,,,
3192,Pariya Green Place,,,,,,,,,,,,,,,,,,,,,,,,
3193,Orchid Resort,,,,,,,,,,,,,,,,,,,,,,,,
3188,NIDA Rooms Patong 88 Nanai,,,,,,,,,,,,,,,,,,,,,,,,
3189,NIDA Rooms Silom Soi 12 Planet,,,,,,,,,,,,,,,,,,,,,,,,
3196,Oasis Inn Bangkok,,,,,,,,,,,,,,,,,,,,,,,,
3194,Paradiso Boutique Suites,,,,,,,,,,,,,,,,,,,,,,,,
3197,Oldtown Hostel,,,,,,,,,,,,,,,,,,,,,,,,
3199,Phaiphannarat Resort,,,,,,,,,,,,,,,,,,,,,,,,
3195,O''nya Phuket Hotel',,,,,,,,,,,,,,,,,,,,,,,,
3198,Patong Eyes Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3202,Pennapa Chalet,,,,,,,,,,,,,,,,,,,,,,,,
3203,Penpark Place,,,,,,,,,,,,,,,,,,,,,,,,
3201,Phaithong Sotel Resort,,,,,,,,,,,,,,,,,,,,,,,,
3205,Pho Place,,,,,,,,,,,,,,,,,,,,,,,,
3207,Pier 42 Boutique Resort & Spa,,,,,,,,,,,,,,,,,,,,,,,,
3206,Pietra Bangkok Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3204,Patong Studio Apartments,,,,,,,,,,,,,,,,,,,,,,,,
3200,Pen Villa Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3210,PK Mansion,,,,,,,,,,,,,,,,,,,,,,,,
3211,Phusita House 2,,,,,,,,,,,,,,,,,,,,,,,,
3213,Pissamorn House,,,,,,,,,,,,,,,,,,,,,,,,
3208,Phoomjai House,,,,,,,,,,,,,,,,,,,,,,,,
3217,Prestige Chiang Mai,,,,,,,,,,,,,,,,,,,,,,,,
3216,PP PLUS MANSION,,,,,,,,,,,,,,,,,,,,,,,,
3215,Preme Hostel,,,,,,,,,,,,,,,,,,,,,,,,
3214,Phuket Muay Thai House,,,,,,,,,,,,,,,,,,,,,,,,
3218,Platinum Hotel and Apartments,,,,,,,,,,,,,,,,,,,,,,,,
3209,Phusita House 3,,,,,,,,,,,,,,,,,,,,,,,,
3220,Priew Wan Guesthouse,,,,,,,,,,,,,,,,,,,,,,,,
3225,Raya Rawai Place,,,,,,,,,,,,,,,,,,,,,,,,
3219,Plus Condominium,,,,,,,,,,,,,,,,,,,,,,,,
3226,Raintree Boutique Hut,,,,,,,,,,,,,,,,,,,,,,,,
3223,Rainbow Micky Home Stay,,,,,,,,,,,,,,,,,,,,,,,,
3221,Proud Phuket Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3222,Princess Seaview Resort & Spa,,,,,,,,,,,,,,,,,,,,,,,,
3228,Rompo Mansion Bangkok,,,,,,,,,,,,,,,,,,,,,,,,
3233,Romance Sukhumvit 97,,,,,,,,,,,,,,,,,,,,,,,,
3236,Room@Chalong,,,,,,,,,,,,,,,,,,,,,,,,
3235,S.K. House 1,,,,,,,,,,,,,,,,,,,,,,,,
3234,Rustic Guest House,,,,,,,,,,,,,,,,,,,,,,,,
3237,RS Seaside,,,,,,,,,,,,,,,,,,,,,,,,
3224,Ratchada Point Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3231,Encore Seaside Residency,,,,,,,,,,,,,,,,,,,,,,,,
3238,Royal Phuket City Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3241,Rustic River Boutique,,,,,,,,,,,,,,,,,,,,,,,,
3242,SB Park Mansion,,,,,,,,,,,,,,,,,,,,,,,,
3230,River View Guest House,,,,,,,,,,,,,,,,,,,,,,,,
3246,Sam Sen Sam Place,,,,,,,,,,,,,,,,,,,,,,,,
3247,Sam's Lodge,,,,,,,,,,,,,,,,,,,,,,,,
3243,Sakura Sky Residence,,,,,,,,,,,,,,,,,,,,,,,,
3232,Rose Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3244,Sawasdee House,,,,,,,,,,,,,,,,,,,,,,,,
3249,Si Phum Heritage Boutique Bed & Breakfast,,,,,,,,,,,,,,,,,,,,,,,,
3239,Sabai Sabai @ Sukhumvit,,,,,,,,,,,,,,,,,,,,,,,,
3245,Sarita Chalet & Spa Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3240,sala lanna Chiang Mai,,,,,,,,,,,,,,,,,,,,,,,,
3251,Siam Star Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3250,Siamaze,,,,,,,,,,,,,,,,,,,,,,,,
3253,Similan Mansion,,,,,,,,,,,,,,,,,,,,,,,,
3252,Silom City Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3248,Sereno Airport Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3254,Sino House Phuket Hotel and Apartment,,,,,,,,,,,,,,,,,,,,,,,,
3257,Smart Suites,,,,,,,,,,,,,,,,,,,,,,,,
3266,Surin Sabai Condominium 2,,,,,,,,,,,,,,,,,,,,,,,,
3264,Sky Suites,,,,,,,,,,,,,,,,,,,,,,,,
3265,SS Hotel Bangkok,,,,,,,,,,,,,,,,,,,,,,,,
3259,Spa Guest House,,,,,,,,,,,,,,,,,,,,,,,,
3260,Sleepbox Sukhumvit 22 Hostel,,,,,,,,,,,,,,,,,,,,,,,,
3267,Star Guesthouse,,,,,,,,,,,,,,,,,,,,,,,,
3258,South Siam Guesthouse,,,,,,,,,,,,,,,,,,,,,,,,
3269,Suncity Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3263,Sri Krungthep Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3270,"Tadkham Village, Chiang Mai",,,,,,,,,,,,,,,,,,,,,,,,
3256,Sigma Resort Jomtien Pattaya,,,,,,,,,,,,,,,,,,,,,,,,
3262,Sawasdee Smile Inn,,,,,,,,,,,,,,,,,,,,,,,,
3255,Silom art hostel,,,,,,,,,,,,,,,,,,,,,,,,
3272,Talai Suites,,,,,,,,,,,,,,,,,,,,,,,,
3273,Thai Cozy House,,,,,,,,,,,,,,,,,,,,,,,,
3268,Stable Lodge,,,,,,,,,,,,,,,,,,,,,,,,
3275,T-Villa,,,,,,,,,,,,,,,,,,,,,,,,
3274,Thanapa Place,,,,,,,,,,,,,,,,,,,,,,,,
3276,Thai Classic House 2,,,,,,,,,,,,,,,,,,,,,,,,
3277,The ASHLEE Plaza Patong Hotel & Spa,,,,,,,,,,,,,,,,,,,,,,,,
3261,Sorot House,,,,,,,,,,,,,,,,,,,,,,,,
3278,The Base Downtown,,,,,,,,,,,,,,,,,,,,,,,,
3271,Ten Stars Inn,,,,,,,,,,,,,,,,,,,,,,,,
3279,The ASHLEE Heights Patong Hotel & Suites,,,,,,,,,,,,,,,,,,,,,,,,
3282,The Blue Pearl Kata Hotel by The Beach Group,,,,,,,,,,,,,,,,,,,,,,,,
3283,The Aim Sathorn,,,,,,,,,,,,,,,,,,,,,,,,
3287,The Chilli Bangkok,,,,,,,,,,,,,,,,,,,,,,,,
3286,The Chateau Chiangmai Residence,,,,,,,,,,,,,,,,,,,,,,,,
3284,The Capital Resort at Sukhumvit 50,,,,,,,,,,,,,,,,,,,,,,,,
3290,The Four Wings Hotel Bangkok,,,,,,,,,,,,,,,,,,,,,,,,
3281,The Battery Park Midtown Villa,,,,,,,,,,,,,,,,,,,,,,,,
3280,The Bloom Residence at Suvarnabhumi,,,,,,,,,,,,,,,,,,,,,,,,
3289,The Fusion Resort,,,,,,,,,,,,,,,,,,,,,,,,
3285,The Boss's Place Sathorn,,,,,,,,,,,,,,,,,,,,,,,,
3288,The Davis Bangkok,,,,,,,,,,,,,,,,,,,,,,,,
3295,The Great Residence Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3298,The Nook,,,,,,,,,,,,,,,,,,,,,,,,
3299,The Orange Pier Guesthouse,,,,,,,,,,,,,,,,,,,,,,,,
3300,The Agung Residence,,,,,,,,,,,,,,,,,,,,,,,,
3301,The Now Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3303,The Region,,,,,,,,,,,,,,,,,,,,,,,,
3297,The Mangrove Panwa Phuket Resort,,,,,,,,,,,,,,,,,,,,,,,,
3307,The Pier Phuket Apartment,,,,,,,,,,,,,,,,,,,,,,,,
3306,Thongtha Residence - Suvarnabhumi Airport,,,,,,,,,,,,,,,,,,,,,,,,
3305,The Seasons Pattaya,,,,,,,,,,,,,,,,,,,,,,,,
3309,The Tawana Bangkok,,,,,,,,,,,,,,,,,,,,,,,,
3308,The Bell Pool Villa Resort Phuket,,,,,,,,,,,,,,,,,,,,,,,,
3310,Thong Ta Resort Suvarnabhumi,,,,,,,,,,,,,,,,,,,,,,,,
3296,The Mix Bangkok - Silom,,,,,,,,,,,,,,,,,,,,,,,,
3294,"Metropole Hotel, Phuket",,,,,,,,,,,,,,,,,,,,,,,,
3293,The Nest Resort,,,,,,,,,,,,,,,,,,,,,,,,
3291,The Klassique Sukhumvit,,,,,,,,,,,,,,,,,,,,,,,,
3312,Tim House,,,,,,,,,,,,,,,,,,,,,,,,
3311,The Tint At Phuket Town,,,,,,,,,,,,,,,,,,,,,,,,
3320,Veerachai Court,,,,,,,,,,,,,,,,,,,,,,,,
3315,Tsix5 Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3318,Tree Retro Tasala Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3322,VIP Mansion,,,,,,,,,,,,,,,,,,,,,,,,
3321,Viman Guesthouse,,,,,,,,,,,,,,,,,,,,,,,,
3324,Warm White Hostel,,,,,,,,,,,,,,,,,,,,,,,,
3325,White Chalet Guesthouse,,,,,,,,,,,,,,,,,,,,,,,,
3302,The Siam Heritage Boutique Suites,,,,,,,,,,,,,,,,,,,,,,,,
3304,The Residence Rajtaevee Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3326,Villa Cha Cha Phraatit,,,,,,,,,,,,,,,,,,,,,,,,
3327,ZEN Premium Bumrungraj Soi 2,,,,,,,,,,,,,,,,,,,,,,,,
3329,Yellow Pillow Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3328,Yi's Garden Villa,,,,,,,,,,,,,,,,,,,,,,,,
3334,ZEN Premium Klongtoey,,,,,,,,,,,,,,,,,,,,,,,,
3316,Tongtip Place,,,,,,,,,,,,,,,,,,,,,,,,
3335,ZEN Premium Chaloemprakiat Patong,,,,,,,,,,,,,,,,,,,,,,,,
3332,Wild Orchid Villa Khaosan,,,,,,,,,,,,,,,,,,,,,,,,
3333,White Palace Bangkok,,,,,,,,,,,,,,,,,,,,,,,,
3337,ZEN Premium Patak Karon Beach,,,,,,,,,,,,,,,,,,,,,,,,
3336,ZEN Premium Marlin Plaza Patong,,,,,,,,,,,,,,,,,,,,,,,,
3341,ZEN Premium Soi Naiyang 2,,,,,,,,,,,,,,,,,,,,,,,,
3339,ZEN Premium Panwa Beach,,,,,,,,,,,,,,,,,,,,,,,,
3340,ZEN Premium Chalong Phuket,,,,,,,,,,,,,,,,,,,,,,,,
3319,V Residence Chiang Mai,,,,,,,,,,,,,,,,,,,,,,,,
3317,Triple 8 Inn Bangkok,,,,,,,,,,,,,,,,,,,,,,,,
3313,Three of a Kind,,,,,,,,,,,,,,,,,,,,,,,,
3314,Tokyo Vender Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3343,ZEN Premium Prachanukroh Patong Beach,,,,,,,,,,,,,,,,,,,,,,,,
3342,ZEN Premium Chatuchak Park,,,,,,,,,,,,,,,,,,,,,,,,
3344,ZEN Premium Silom Soi 22,,,,,,,,,,,,,,,,,,,,,,,,
3346,ZEN Premium Tarntawan Place,,,,,,,,,,,,,,,,,,,,,,,,
3338,ZEN Premium Phangmuang Sai Kor Road,,,,,,,,,,,,,,,,,,,,,,,,
3348,ZEN Rooms Arak Road 7 Days Inn,,,,,,,,,,,,,,,,,,,,,,,,
3347,ZEN Rooms Bangchak,,,,,,,,,,,,,,,,,,,,,,,,
3345,ZEN Premium Sukhumvit 33,,,,,,,,,,,,,,,,,,,,,,,,
3350,ZEN Rooms Changmoi Soi 2,,,,,,,,,,,,,,,,,,,,,,,,
3330,Vareena Palace Hotel,,,,,,,,,,,,,,,,,,,,,,,,
3349,ZEN Premium Ari Mystic,,,,,,,,,,,,,,,,,,,,,,,,
3351,ZEN Rooms Chanasongkram,,,,,,,,,,,,,,,,,,,,,,,,
3352,ZEN Rooms ChaCha,,,,,,,,,,,,,,,,,,,,,,,,
3331,White House Asoke Sukhumvit 18,,,,,,,,,,,,,,,,,,,,,,,,
3354,ZEN Rooms Chaofah-Tawantok Road,,,,,,,,,,,,,,,,,,,,,,,,
3355,ZEN Rooms Cocco Pattaya,,,,,,,,,,,,,,,,,,,,,,,,
3353,ZEN Rooms Boss Prakanong,,,,,,,,,,,,,,,,,,,,,,,,
3357,ZEN Rooms Chayapreuk 1,,,,,,,,,,,,,,,,,,,,,,,,
3356,ZEN Rooms Chinatown Bangkok,,,,,,,,,,,,,,,,,,,,,,,,
3358,ZEN Rooms Chaofa Nok,,,,,,,,,,,,,,,,,,,,,,,,
3359,ZEN Rooms Charurat,,,,,,,,,,,,,,,,,,,,,,,,
3362,ZEN Rooms Damrongrak Road,,,,,,,,,,,,,,,,,,,,,,,,
3361,ZEN Rooms Decho Road,,,,,,,,,,,,,,,,,,,,,,,,
3363,ZEN Rooms Chaofa East Road,,,,,,,,,,,,,,,,,,,,,,,,
3364,ZEN Rooms Don Chan,,,,,,,,,,,,,,,,,,,,,,,,
3365,ZEN Rooms Ekkamai,,,,,,,,,,,,,,,,,,,,,,,,
3368,ZEN Rooms Dibuk Phuket Town,,,,,,,,,,,,,,,,,,,,,,,,
3366,ZEN Rooms Huay Kaew Road,,,,,,,,,,,,,,,,,,,,,,,,
3371,ZEN Rooms Jomtien 14,,,,,,,,,,,,,,,,,,,,,,,,
3369,ZEN Rooms Inthamara Soi 49,,,,,,,,,,,,,,,,,,,,,,,,
3377,ZEN Rooms Ladkrabang 48,,,,,,,,,,,,,,,,,,,,,,,,
3380,ZEN Rooms Ladprao Soi 71,,,,,,,,,,,,,,,,,,,,,,,,
3378,ZEN Rooms Ladprao Soi 23,,,,,,,,,,,,,,,,,,,,,,,,
3382,ZEN Rooms Manee Nopparat Soi 1,,,,,,,,,,,,,,,,,,,,,,,,
3384,ZEN Rooms Manon,,,,,,,,,,,,,,,,,,,,,,,,
3387,ZEN Rooms Mahachai Khao San,,,,,,,,,,,,,,,,,,,,,,,,
3385,ZEN Rooms Naka Phuket,,,,,,,,,,,,,,,,,,,,,,,,
3386,ZEN Rooms Mix Prakanong,,,,,,,,,,,,,,,,,,,,,,,,
3376,ZEN Rooms Mon Muang,,,,,,,,,,,,,,,,,,,,,,,,
3389,ZEN Rooms Nimman 13,,,,,,,,,,,,,,,,,,,,,,,,
3393,ZEN Rooms Patak,,,,,,,,,,,,,,,,,,,,,,,,
3388,ZEN Rooms Nana,,,,,,,,,,,,,,,,,,,,,,,,
3391,ZEN Rooms Panurangsri,,,,,,,,,,,,,,,,,,,,,,,,
3392,ZEN Rooms Naklua,,,,,,,,,,,,,,,,,,,,,,,,
3390,ZEN Rooms Nanai Phuket,,,,,,,,,,,,,,,,,,,,,,,,
3394,ZEN Rooms Onnut,,,,,,,,,,,,,,,,,,,,,,,,
3396,ZEN Rooms Pisitkaranee Road Patong,,,,,,,,,,,,,,,,,,,,,,,,
3395,ZEN Rooms Patong Soi Chuwong,,,,,,,,,,,,,,,,,,,,,,,,
3375,ZEN Rooms Jomtien Khao Noi,,,,,,,,,,,,,,,,,,,,,,,,
3367,ZEN Rooms Inthamara Soi 34,,,,,,,,,,,,,,,,,,,,,,,,
3405,ZEN Rooms Ratchadaphisek Soi 17,,,,,,,,,,,,,,,,,,,,,,,,
3401,ZEN Rooms Petchburi Soi 17,,,,,,,,,,,,,,,,,,,,,,,,
3404,ZEN Rooms Rat-Uthid Patong,,,,,,,,,,,,,,,,,,,,,,,,
3407,ZEN Rooms Ratchadaphisek Soi Sukruamkan,,,,,,,,,,,,,,,,,,,,,,,,
3403,ZEN Rooms Rajprarop 5,,,,,,,,,,,,,,,,,,,,,,,,
3402,ZEN Rooms Rachawong Road,,,,,,,,,,,,,,,,,,,,,,,,
3409,ZEN Rooms Samlaan Road,,,,,,,,,,,,,,,,,,,,,,,,
3400,ZEN Rooms Petchburi 11 Pratunam,,,,,,,,,,,,,,,,,,,,,,,,
3397,ZEN Rooms Phra Athit,,,,,,,,,,,,,,,,,,,,,,,,
3406,ZEN Rooms Rat-U-Thid 200 Phi Road,,,,,,,,,,,,,,,,,,,,,,,,
3408,ZEN Rooms Samsen 3,,,,,,,,,,,,,,,,,,,,,,,,
3410,ZEN Rooms Sathorn AIM,,,,,,,,,,,,,,,,,,,,,,,,
3399,ZEN Rooms Pratunam 15,,,,,,,,,,,,,,,,,,,,,,,,
3414,ZEN Rooms Soi Baan Khun Penn,,,,,,,,,,,,,,,,,,,,,,,,
3413,ZEN Rooms Silom Soi 17,,,,,,,,,,,,,,,,,,,,,,,,
3417,ZEN Rooms Soi Than Tawan,,,,,,,,,,,,,,,,,,,,,,,,
3416,ZEN Rooms Silom 12,,,,,,,,,,,,,,,,,,,,,,,,
3418,ZEN Rooms Suanplu Soi 7,,,,,,,,,,,,,,,,,,,,,,,,
3419,ZEN Rooms Sukhumvit 11,,,,,,,,,,,,,,,,,,,,,,,,
3381,ZEN Rooms Kingkaew 45,,,,,,,,,,,,,,,,,,,,,,,,
3422,ZEN Rooms Sripoom Soi 1,,,,,,,,,,,,,,,,,,,,,,,,
3421,ZEN Rooms Sukhumvit Soi 18,,,,,,,,,,,,,,,,,,,,,,,,
3424,ZEN Rooms Sukhumvit 71,,,,,,,,,,,,,,,,,,,,,,,,
3425,ZEN Rooms Sukhumvit 81,,,,,,,,,,,,,,,,,,,,,,,,
3415,ZEN Rooms Soi Chom Chan,,,,,,,,,,,,,,,,,,,,,,,,
3426,ZEN Rooms Sukhumvit 79,,,,,,,,,,,,,,,,,,,,,,,,
3435,ZEN Rooms Taiwang Road,,,,,,,,,,,,,,,,,,,,,,,,
3431,ZEN Rooms Surasak 1,,,,,,,,,,,,,,,,,,,,,,,,
3436,ZEN Rooms Wualai Road,,,,,,,,,,,,,,,,,,,,,,,,
3437,ZEN Rooms Watgate,,,,,,,,,,,,,,,,,,,,,,,,
