check_in,check_out,city,hotel_id,is_soldout,meal_plan,ota,room_type,total
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,TRUE,,Yatra,,0
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Cleartrip,Classic Room,3499.480038
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Cleartrip,Suite,4471.557826
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,EP,Expedia,Unassigned,3327.29
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,EP,Expedia,Unassigned,3416.1
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,EP,Expedia,Unassigned,3852.65
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,EP,Expedia,Unassigned,3955.49
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,EP,Expedia,Unassigned,4027.76
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,EP,Expedia,Unassigned,4135.29
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Munnar,18213,FALSE,CP,Ctrip,Classic Room,3694
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Munnar,18213,FALSE,CP,Ctrip,Premier Room,4280
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Munnar,18213,FALSE,CP,Ctrip,Premier Room,4865
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Munnar,18213,FALSE,CP,Ctrip,Suite,4482
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Munnar,18213,FALSE,CP,Ctrip,Suite,5067
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Munnar,18213,FALSE,CP,Ctrip,Suite,5653
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,EP,MakeMyTrip,Classic Room,2761.308467
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,MakeMyTrip,Classic Room,2914.714493
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,EP,MakeMyTrip,Premier Room,3221.526545
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,EP,MakeMyTrip,Suite,3374.932571
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,MakeMyTrip,Premier Room,3374.932571
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,MakeMyTrip,Suite,3528.338597
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Classic Room,3342.21
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Classic Room,3676.43
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Premier Room,3869.93
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Premier Room,4256.92
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Premier Room,4864.77
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Suite,4045.84
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Suite,4450.42
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Suite,5059.37
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Suite,5643.14
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Munnar,18213,FALSE,CP,Booking,Classic Room,3423.18
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Munnar,18213,FALSE,CP,Booking,Premier Room,3964.8
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Munnar,18213,FALSE,CP,Booking,Premier Room,4505.24
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Munnar,18213,FALSE,CP,Booking,Suite,4144.16
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Munnar,18213,FALSE,CP,Booking,Suite,4684.6
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Munnar,18213,FALSE,CP,Booking,Suite,5226.22
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Classic Room,11380.21
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Premier Room,13411.31
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Premier Room,15360
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Privilege Suite,14049.95
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Privilege Suite,16000
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Agoda,Privilege Suite,17920
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Expedia,Premier Room,13440
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,EP,MakeMyTrip,Premier Room,10100
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,MakeMyTrip,Premier Room,10605
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,TRUE,,Yatra,,0
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikānāl,18213,FALSE,CP,Booking,Premier Room,13440
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikānāl,18213,FALSE,CP,Booking,Premier Room,15360
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Ctrip,Premier Room,13440
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Ctrip,Premier Room,15360
2018-05-10T00:00:00.000Z,2018-05-11T00:00:00.000Z,Kodaikanal,18213,TRUE,,Cleartrip,,0
2018-05-11T00:00:00.000Z,2018-05-12T00:00:00.000Z,Kodaikanal,18213,TRUE,,Yatra,,0
2018-05-11T00:00:00.000Z,2018-05-12T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Cleartrip,Classic Room,3188.415145
2018-05-11T00:00:00.000Z,2018-05-12T00:00:00.000Z,Kodaikanal,18213,FALSE,CP,Cleartrip,Suite,4160.492934
2018-05-11T00:00:00.000Z,2018-05-12T00:00:00.000Z,Kodaikanal,18213,FALSE,EP,Expedia,Unassigned,3047.1
2018-05-11T00:00:00.000Z,2018-05-12T00:00:00.000Z,Kodaikanal,18213,FALSE,EP,Expedia,Unassigned,3128.43
