check_in,check_out,city,currency_converted,hotel_id,is_soldout,meal_plan,ota,room_type,total
2018-05-11T00:00:00.000Z,2018-05-12T00:00:00.000Z,Bangalore,false,1,false,EP,Yatra,Deluxe Room city view King Bed,9600.0
2018-05-11T00:00:00.000Z,2018-05-12T00:00:00.000Z,Bangalore,false,1,false,EP,Yatra,Deluxe Room Lake view King Bed,10240.0
2018-05-11T00:00:00.000Z,2018-05-12T00:00:00.000Z,Bangalore,false,1,false,CP,Yatra,Deluxe Room city view King Bed,10560.0
2018-05-11T00:00:00.000Z,2018-05-12T00:00:00.000Z,Bangalore,false,1,false,CP,Yatra,Deluxe Room Lake view King Bed,11200.0
2018-05-11T00:00:00.000Z,2018-05-12T00:00:00.000Z,Bangalore,false,1,false,EP,Yatra,Deluxe Suite Lake or City View King Bed,17920.0
2018-05-11T00:00:00.000Z,2018-05-12T00:00:00.000Z,Bangalore,false,1,false,CP,Yatra,Deluxe Suite Lake or City View King Bed,18880.0
2018-05-12T00:00:00.000Z,2018-05-13T00:00:00.000Z,Bangalore,false,1,false,EP,Yatra,Deluxe Room city view King Bed,9600.0
2018-05-12T00:00:00.000Z,2018-05-13T00:00:00.000Z,Bangalore,false,1,false,EP,Yatra,Deluxe Room Lake view King Bed,10240.0
2018-05-12T00:00:00.000Z,2018-05-13T00:00:00.000Z,Bangalore,false,1,false,CP,Yatra,Deluxe Room city view King Bed,10560.0
2018-05-12T00:00:00.000Z,2018-05-13T00:00:00.000Z,Bangalore,false,1,false,CP,Yatra,Deluxe Room Lake view King Bed,11200.0
2018-05-12T00:00:00.000Z,2018-05-13T00:00:00.000Z,Bangalore,false,1,false,EP,Yatra,Deluxe Suite Lake or City View King Bed,17920.0
2018-05-12T00:00:00.000Z,2018-05-13T00:00:00.000Z,Bangalore,false,1,false,CP,Yatra,Deluxe Suite Lake or City View King Bed,18880.0
2018-05-13T00:00:00.000Z,2018-05-14T00:00:00.000Z,Bangalore,false,1,false,EP,Yatra,Deluxe Room city view King Bed,9600.0
